id,app_name,dataset,algorithm,threads,selectivity,data_skew,seal_chunk_size,r_tuples,s_tuples,r_path,s_path,r_size,s_size,seal,sort_r,sort_s
56,SGX,"Cache Exceed",Crkj,1,50,0.1,0,2097152,2097152,,,,,0,0,0
57,SGX,"Cache Exceed",Crkj,1,50,0.2,0,2097152,2097152,,,,,0,0,0
58,SGX,"Cache Exceed",Crkj,1,50,0.3,0,2097152,2097152,,,,,0,0,0
59,SGX,"Cache Exceed",Crkj,1,50,0.4,0,2097152,2097152,,,,,0,0,0
60,SGX,"Cache Exceed",Crkj,1,50,0.5,0,2097152,2097152,,,,,0,0,0
61,SGX,"Cache Exceed",Crkj,1,50,0.6,0,2097152,2097152,,,,,0,0,0
62,SGX,"Cache Exceed",Crkj,1,50,0.7,0,2097152,2097152,,,,,0,0,0
63,SGX,"Cache Exceed",Crkj,1,50,0.8,0,2097152,2097152,,,,,0,0,0
64,SGX,"Cache Exceed",Crkj,1,50,0.9,0,2097152,2097152,,,,,0,0,0
65,SGX,"Cache Exceed",Crkj,1,50,1.0,0,2097152,2097152,,,,,0,0,0
66,SGX,"Cache Exceed",Crkj,1,60,0.0,0,2097152,2097152,,,,,0,0,0
67,SGX,"Cache Exceed",Crkj,1,60,0.1,0,2097152,2097152,,,,,0,0,0
68,SGX,"Cache Exceed",Crkj,1,60,0.2,0,2097152,2097152,,,,,0,0,0
69,SGX,"Cache Exceed",Crkj,1,60,0.3,0,2097152,2097152,,,,,0,0,0
70,SGX,"Cache Exceed",Crkj,1,60,0.4,0,2097152,2097152,,,,,0,0,0
71,SGX,"Cache Exceed",Crkj,1,60,0.5,0,2097152,2097152,,,,,0,0,0
72,SGX,"Cache Exceed",Crkj,1,60,0.6,0,2097152,2097152,,,,,0,0,0
73,SGX,"Cache Exceed",Crkj,1,60,0.7,0,2097152,2097152,,,,,0,0,0
74,SGX,"Cache Exceed",Crkj,1,60,0.8,0,2097152,2097152,,,,,0,0,0
75,SGX,"Cache Exceed",Crkj,1,60,0.9,0,2097152,2097152,,,,,0,0,0
76,SGX,"Cache Exceed",Crkj,1,60,1.0,0,2097152,2097152,,,,,0,0,0
77,SGX,"Cache Exceed",Crkj,1,70,0.0,0,2097152,2097152,,,,,0,0,0
78,SGX,"Cache Exceed",Crkj,1,70,0.1,0,2097152,2097152,,,,,0,0,0
79,SGX,"Cache Exceed",Crkj,1,70,0.2,0,2097152,2097152,,,,,0,0,0
80,SGX,"Cache Exceed",Crkj,1,70,0.3,0,2097152,2097152,,,,,0,0,0
81,SGX,"Cache Exceed",Crkj,1,70,0.4,0,2097152,2097152,,,,,0,0,0
82,SGX,"Cache Exceed",Crkj,1,70,0.5,0,2097152,2097152,,,,,0,0,0
83,SGX,"Cache Exceed",Crkj,1,70,0.6,0,2097152,2097152,,,,,0,0,0
84,SGX,"Cache Exceed",Crkj,1,70,0.7,0,2097152,2097152,,,,,0,0,0
85,SGX,"Cache Exceed",Crkj,1,70,0.8,0,2097152,2097152,,,,,0,0,0
86,SGX,"Cache Exceed",Crkj,1,70,0.9,0,2097152,2097152,,,,,0,0,0
87,SGX,"Cache Exceed",Crkj,1,70,1.0,0,2097152,2097152,,,,,0,0,0
88,SGX,"Cache Exceed",Crkj,1,80,0.0,0,2097152,2097152,,,,,0,0,0
89,SGX,"Cache Exceed",Crkj,1,80,0.1,0,2097152,2097152,,,,,0,0,0
90,SGX,"Cache Exceed",Crkj,1,80,0.2,0,2097152,2097152,,,,,0,0,0
91,SGX,"Cache Exceed",Crkj,1,80,0.3,0,2097152,2097152,,,,,0,0,0
92,SGX,"Cache Exceed",Crkj,1,80,0.4,0,2097152,2097152,,,,,0,0,0
93,SGX,"Cache Exceed",Crkj,1,80,0.5,0,2097152,2097152,,,,,0,0,0
94,SGX,"Cache Exceed",Crkj,1,80,0.6,0,2097152,2097152,,,,,0,0,0
95,SGX,"Cache Exceed",Crkj,1,80,0.7,0,2097152,2097152,,,,,0,0,0
96,SGX,"Cache Exceed",Crkj,1,80,0.8,0,2097152,2097152,,,,,0,0,0
97,SGX,"Cache Exceed",Crkj,1,80,0.9,0,2097152,2097152,,,,,0,0,0
98,SGX,"Cache Exceed",Crkj,1,80,1.0,0,2097152,2097152,,,,,0,0,0
99,SGX,"Cache Exceed",Crkj,1,90,0.0,0,2097152,2097152,,,,,0,0,0
100,SGX,"Cache Exceed",Crkj,1,90,0.1,0,2097152,2097152,,,,,0,0,0
101,SGX,"Cache Exceed",Crkj,1,90,0.2,0,2097152,2097152,,,,,0,0,0
102,SGX,"Cache Exceed",Crkj,1,90,0.3,0,2097152,2097152,,,,,0,0,0
103,SGX,"Cache Exceed",Crkj,1,90,0.4,0,2097152,2097152,,,,,0,0,0
104,SGX,"Cache Exceed",Crkj,1,90,0.5,0,2097152,2097152,,,,,0,0,0
105,SGX,"Cache Exceed",Crkj,1,90,0.6,0,2097152,2097152,,,,,0,0,0
106,SGX,"Cache Exceed",Crkj,1,90,0.7,0,2097152,2097152,,,,,0,0,0
107,SGX,"Cache Exceed",Crkj,1,90,0.8,0,2097152,2097152,,,,,0,0,0
108,SGX,"Cache Exceed",Crkj,1,90,0.9,0,2097152,2097152,,,,,0,0,0
109,SGX,"Cache Exceed",Crkj,1,90,1.0,0,2097152,2097152,,,,,0,0,0
110,SGX,"Cache Exceed",Crkj,1,100,0.0,0,2097152,2097152,,,,,0,0,0
111,SGX,"Cache Exceed",Crkj,1,100,0.1,0,2097152,2097152,,,,,0,0,0
112,SGX,"Cache Exceed",Crkj,1,100,0.2,0,2097152,2097152,,,,,0,0,0
113,SGX,"Cache Exceed",Crkj,1,100,0.3,0,2097152,2097152,,,,,0,0,0
114,SGX,"Cache Exceed",Crkj,1,100,0.4,0,2097152,2097152,,,,,0,0,0
115,SGX,"Cache Exceed",Crkj,1,100,0.5,0,2097152,2097152,,,,,0,0,0
116,SGX,"Cache Exceed",Crkj,1,100,0.6,0,2097152,2097152,,,,,0,0,0
117,SGX,"Cache Exceed",Crkj,1,100,0.7,0,2097152,2097152,,,,,0,0,0
118,SGX,"Cache Exceed",Crkj,1,100,0.8,0,2097152,2097152,,,,,0,0,0
119,SGX,"Cache Exceed",Crkj,1,100,0.9,0,2097152,2097152,,,,,0,0,0
120,SGX,"Cache Exceed",Crkj,1,100,1.0,0,2097152,2097152,,,,,0,0,0
121,SGX,"Cache Exceed",Crkj,2,0,0.0,0,2097152,2097152,,,,,0,0,0
122,SGX,"Cache Exceed",Crkj,2,0,0.1,0,2097152,2097152,,,,,0,0,0
123,SGX,"Cache Exceed",Crkj,2,0,0.2,0,2097152,2097152,,,,,0,0,0
124,SGX,"Cache Exceed",Crkj,2,0,0.3,0,2097152,2097152,,,,,0,0,0
125,SGX,"Cache Exceed",Crkj,2,0,0.4,0,2097152,2097152,,,,,0,0,0
126,SGX,"Cache Exceed",Crkj,2,0,0.5,0,2097152,2097152,,,,,0,0,0
127,SGX,"Cache Exceed",Crkj,2,0,0.6,0,2097152,2097152,,,,,0,0,0
