teebenchargs_id,algorithm,threads,relR,relS,matches,phase1Cycles,phase2Cycles,cyclesPerTuple,phase1Time,phase2Time,totalTime,throughput,phase1L3CacheMisses,phase1L3HitRatio,phase1L2CacheMisses,phase1L2HitRatio,phase1IPC,phase1IR,phase1EWB,phase1VoluntaryCS,phase1InvoluntaryCS,phase1UserCpuTime,phase1SystemCpuTime,phase2L3CacheMisses,phase2L3HitRatio,phase2L2CacheMisses,phase2L2HitRatio,phase2IPC,phase2IR,phase2EWB,phase2VoluntaryCS,phase2InvoluntaryCS,phase2UserCpuTime,phase2SystemCpuTime,totalL3CacheMisses,totalL3HitRatio,totalL2CacheMisses,totalL2HitRatio,totalIPC,totalIR,totalEWB,totalVoluntaryCS,totalInvoluntaryCS,totalUserCpuTime,totalSystemCpuTime
3811,HashJoinVersion5,12,1310720,5242880,5242880,541193424,12121942,84,0,0,162396,40.3557,45560,0.95,1692174,0.49,0.09,845332616,13504,167,29,295699,1543911,46998,0.95,1712009,0.49,0.09,847516105,0,240,45,300501,1568653,48836,0.95,1733395,0.49,0.09,850637126,14560,255,77,302461,1569273
3812,HashJoinVersion5,13,1310720,5242880,5242880,556492744,13429638,86,0,0,167258,39.1826,45060,0.96,1891218,0.47,0.09,923450728,13536,204,28,322008,1708536,46584,0.96,1914307,0.47,0.09,925855067,0,288,44,354429,1708536,48270,0.96,1932030,0.47,0.09,928714049,14592,304,76,355385,1710441
3813,HashJoinVersion5,14,1310720,5242880,5242880,548790202,13971732,85,0,0,165141,39.6849,45655,0.95,1740848,0.49,0.09,979991404,13488,219,23,297873,1874495,47034,0.95,1766194,0.49,0.09,982543016,0,316,39,332587,1874495,48902,0.95,1786249,0.49,0.09,985586230,14592,330,71,333310,1876421
3814,HashJoinVersion5,15,1310720,5242880,5242880,563474016,13470864,88,0,0,169303,38.7093,45126,0.96,1869638,0.48,0.09,1048310224,13520,283,62,333694,2035062,46748,0.96,1895365,0.48,0.09,1050928257,0,387,79,369933,2035062,48444,0.96,1911855,0.48,0.09,1053554425,14592,399,111,371206,2036952
3815,HashJoinVersion5,16,1310720,5242880,5242880,587658568,12900936,91,0,0,176242,37.1852,49240,0.95,2162830,0.48,0.09,1082925481,13548,332,77,383957,2017639,50579,0.95,2189886,0.48,0.09,1085729706,0,452,93,389841,2050258,52057,0.95,2207894,0.48,0.09,1088478494,14624,467,125,390221,2052429
3816,HashJoinVersion4,1,1310720,5242880,5242880,763795596,51945960,124,0,0,239372,27.3783,39482,0.88,496371,0.73,0.10,139745312,13488,0,16,112328,111036,468,0.95,9389,0.26,0.02,1309632,0,0,16,12476,1863,42263,0.88,527154,0.72,0.09,144627758,14496,0,80,124951,114952
3817,HashJoinVersion4,2,1310720,5242880,5242880,556729564,41936472,91,0,0,175676,37.3050,43544,0.89,722969,0.67,0.10,194440691,13456,231,19,123716,194413,428,0.98,40249,0.51,0.04,4498761,0,81,16,19704,2150,46233,0.90,784708,0.66,0.10,202510518,14464,312,83,144696,197484
3818,HashJoinVersion4,3,1310720,5242880,5242880,577529534,286288052,131,0,0,253492,25.8533,50338,0.90,1239369,0.62,0.11,299723584,13488,4535,16,194669,278410,1451,0.99,1305971,0.68,0.25,208558111,0,16333,16,106112,54058,54176,0.93,2563961,0.65,0.15,511715550,14496,20868,80,301140,334057
3819,HashJoinVersion4,4,1310720,5242880,5242880,647980348,296063590,144,0,0,277021,23.6574,42748,0.94,1862938,0.61,0.12,428977040,13472,10107,20,198073,439115,1735,0.99,1394318,0.66,0.25,210664522,0,16364,17,120225,45021,46659,0.95,3275842,0.63,0.15,643084965,14480,26471,85,318649,485699
3820,HashJoinVersion4,5,1310720,5242880,5242880,738850058,307040070,159,0,0,306907,21.3537,45469,0.95,2435638,0.60,0.13,550959184,13472,15110,17,259036,571678,2311,0.99,1446443,0.66,0.25,213041941,0,16387,18,134861,35761,49686,0.96,3900857,0.62,0.15,767445487,14528,31497,83,394262,608927
